team,coach,playstyle,player,position,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
Canada,Lauren Cortez,complementary,Michael White,F,0.489,-0.148,-0.474,0.514,0.000,0.542,0.281,0.381
Canada,Lauren Cortez,complementary,Michael Ali,F,-0.349,0.007,-0.095,0.254,0.000,-0.745,-0.518,-0.184
Canada,Lauren Cortez,complementary,Nathan Brown,F,-0.294,0.838,1.763,1.684,0.000,-1.628,-0.786,3.991
Canada,Lauren Cortez,complementary,Lawrence Valdez,F,1.252,-0.101,-1.385,-0.546,0.000,-0.635,1.677,-0.780
Canada,Lauren Cortez,complementary,Kevin Stewart,F,-0.436,0.649,-1.741,0.026,0.000,-0.969,0.567,-1.501
Canada,Lauren Cortez,complementary,Alan Martinez,F,-0.233,-0.069,0.173,0.936,0.000,-1.079,-0.297,0.807
Canada,Lauren Cortez,complementary,Brian Todd,D,-0.268,1.047,0.687,-2.679,0.000,-0.421,0.330,-1.213
Canada,Lauren Cortez,complementary,Scott Olsen,D,0.841,0.617,-1.374,1.504,0.000,0.874,0.995,1.588
Canada,Lauren Cortez,complementary,Thomas Thompson,D,0.836,0.231,0.140,0.151,0.000,0.179,0.060,1.359
Canada,Lauren Cortez,complementary,Jason Porter,D,-1.642,0.123,0.024,1.414,0.000,0.252,0.282,-0.081
Canada,Lauren Cortez,complementary,Peter Long,G,0.000,0.000,0.000,0.000,-0.679,-1.407,-0.317,-0.679
United States,Claudia Cox,hyper-defensive,David Hernandez,F,0.205,0.575,-1.194,0.557,0.000,-0.912,0.329,0.143
United States,Claudia Cox,hyper-defensive,Jimmy Hernandez,F,-1.092,0.851,-0.408,1.183,0.000,1.512,-0.281,0.534
United States,Claudia Cox,hyper-defensive,Craig Hansen,F,1.292,0.236,-0.608,0.774,0.000,0.070,1.043,1.695
United States,Claudia Cox,hyper-defensive,Mark Smith,F,0.419,-0.984,0.093,0.233,0.000,0.399,0.234,-0.238
United States,Claudia Cox,hyper-defensive,Cody Burke,F,-0.401,-0.416,1.926,-1.517,0.000,0.740,-1.748,-0.409
United States,Claudia Cox,hyper-defensive,Shawn Stewart,F,0.977,0.009,1.147,-0.250,0.000,-1.128,0.633,1.883
United States,Claudia Cox,hyper-defensive,Kevin Swanson,D,0.968,-0.944,2.497,-1.477,0.000,1.318,-0.671,1.044
United States,Claudia Cox,hyper-defensive,Victor Cain,D,-0.230,-1.305,-0.495,-0.459,0.000,0.216,-0.305,-2.489
United States,Claudia Cox,hyper-defensive,Jason Sullivan,D,-0.497,-0.837,-2.139,0.149,0.000,0.277,-1.082,-3.324
United States,Claudia Cox,hyper-defensive,Justin Tyler,D,1.377,1.161,1.606,0.683,0.000,-0.696,0.336,4.826
United States,Claudia Cox,hyper-defensive,Zachary Turner,G,0.000,0.000,0.000,0.000,-0.631,0.869,0.888,-0.631
Great Britain,David Mcdaniel,hyper-defensive,Frank Conner,F,-0.075,0.866,1.260,-0.461,0.000,0.677,-1.073,1.591
Great Britain,David Mcdaniel,hyper-defensive,Jesse Jimenez,F,0.556,1.296,-0.804,-0.034,0.000,0.433,-0.707,1.014
Great Britain,David Mcdaniel,hyper-defensive,Aaron Duncan,F,0.347,0.269,-0.749,-0.166,0.000,1.637,-0.292,-0.299
Great Britain,David Mcdaniel,hyper-defensive,Anthony Carroll,F,1.039,0.685,0.959,0.806,0.000,-0.413,-1.038,3.489
Great Britain,David Mcdaniel,hyper-defensive,James Bass,F,0.257,0.737,0.380,-1.159,0.000,0.358,-0.220,0.215
Great Britain,David Mcdaniel,hyper-defensive,Jacob Molina,F,-0.426,0.392,-0.064,-1.461,0.000,0.549,0.567,-1.559
Great Britain,David Mcdaniel,hyper-defensive,Eric Davis,D,1.016,-0.375,1.586,0.525,0.000,-0.966,-0.651,2.752
Great Britain,David Mcdaniel,hyper-defensive,Julian Hoover,D,1.265,0.889,0.182,0.870,0.000,-1.615,0.761,3.206
Great Britain,David Mcdaniel,hyper-defensive,Tony Hodge,D,1.295,-1.701,-0.253,0.693,0.000,0.087,0.050,0.034
Great Britain,David Mcdaniel,hyper-defensive,Eric Patrick,D,-0.413,0.192,0.526,-0.341,0.000,-1.859,-1.206,-0.037
Great Britain,David Mcdaniel,hyper-defensive,Bradley Wise,G,0.000,0.000,0.000,0.000,0.217,0.255,0.117,0.217
France,Diane Davidson,star-centric,Kevin Watson,F,-0.277,-0.296,-0.440,-1.164,0.000,0.447,0.032,-2.178
France,Diane Davidson,star-centric,Daniel Wolf,F,0.404,-1.904,-1.222,-2.237,0.000,-0.349,0.468,-4.959
France,Diane Davidson,star-centric,Gregory Brown,F,0.285,1.502,-1.021,1.433,0.000,-1.521,0.969,2.198
France,Diane Davidson,star-centric,Hunter Carlson,F,-0.414,0.351,1.262,-0.239,0.000,1.696,0.257,0.959
France,Diane Davidson,star-centric,Anthony Reynolds,F,-0.339,0.617,-1.329,0.311,0.000,0.411,0.756,-0.741
France,Diane Davidson,star-centric,Walter Pierce,F,0.418,-0.593,1.967,-0.589,0.000,-0.624,-0.812,1.204
France,Diane Davidson,star-centric,Aaron Turner,D,0.455,-0.554,-0.266,-0.283,0.000,-0.506,0.812,-0.649
France,Diane Davidson,star-centric,Larry Wright,D,1.178,0.213,0.302,-0.103,0.000,-0.481,1.325,1.590
France,Diane Davidson,star-centric,Michael Williams,D,0.793,1.209,-0.764,-0.986,0.000,0.622,0.589,0.252
France,Diane Davidson,star-centric,Ryan Barnes,D,-0.573,-0.236,-1.109,-1.783,0.000,-0.550,-0.270,-3.702
France,Diane Davidson,star-centric,Joseph Hubbard,G,0.000,0.000,0.000,0.000,-0.164,1.003,0.073,-0.164
Sweden,Jeffrey Gray,balanced,Dean Finley,F,-0.500,-0.387,-0.230,0.128,0.000,-0.945,-0.778,-0.989
Sweden,Jeffrey Gray,balanced,Glenn Miller,F,-0.560,0.310,-0.295,-2.974,0.000,2.191,-0.160,-3.519
Sweden,Jeffrey Gray,balanced,Rodney White,F,1.048,0.332,-1.658,-0.834,0.000,-1.325,0.514,-1.112
Sweden,Jeffrey Gray,balanced,Jonathan Gonzalez,F,-0.822,-0.957,-1.740,0.286,0.000,-0.564,-0.313,-3.233
Sweden,Jeffrey Gray,balanced,Steven Nolan,F,-1.558,-2.157,0.418,0.127,0.000,-0.468,-0.660,-3.170
Sweden,Jeffrey Gray,balanced,Scott Perez,F,0.413,-0.142,-0.412,-0.964,0.000,1.078,-0.057,-1.105
Sweden,Jeffrey Gray,balanced,Joseph Scott,D,1.799,-0.381,0.966,0.669,0.000,0.273,-1.177,3.053
Sweden,Jeffrey Gray,balanced,Randy Green,D,-1.651,-0.394,-1.366,-1.579,0.000,0.247,-1.037,-4.990
Sweden,Jeffrey Gray,balanced,Frank Parks,D,0.985,-0.537,0.117,0.709,0.000,-0.237,-1.453,1.274
Sweden,Jeffrey Gray,balanced,Andrew Levy,D,-0.655,0.504,0.851,0.064,0.000,0.913,1.695,0.763
Sweden,Jeffrey Gray,balanced,Andrew Wood,G,0.000,0.000,0.000,0.000,-0.340,0.125,-1.202,-0.340
Finland,Ryan Anderson,hyper-defensive,David Mendez,F,1.269,0.798,0.319,0.662,0.000,-1.105,-0.431,3.049
Finland,Ryan Anderson,hyper-defensive,Robert Hall,F,1.224,0.587,1.882,1.760,0.000,1.315,-0.893,5.453
Finland,Ryan Anderson,hyper-defensive,Jason Nelson,F,-1.379,-0.141,-0.116,0.464,0.000,-0.434,0.244,-1.172
Finland,Ryan Anderson,hyper-defensive,Sergio White,F,-0.925,0.494,0.967,-1.228,0.000,1.381,-0.278,-0.692
Finland,Ryan Anderson,hyper-defensive,Andrew Bean,F,-0.761,0.442,0.361,-0.271,0.000,0.836,0.370,-0.230
Finland,Ryan Anderson,hyper-defensive,Daniel Wilson,F,-0.937,0.120,-1.329,0.288,0.000,0.547,-0.630,-1.858
Finland,Ryan Anderson,hyper-defensive,Christopher Navarro,D,0.466,-0.453,-1.911,0.105,0.000,1.515,-0.096,-1.792
Finland,Ryan Anderson,hyper-defensive,William King,D,-1.732,1.737,-0.059,0.251,0.000,0.874,-0.600,0.196
Finland,Ryan Anderson,hyper-defensive,Richard Herrera 2,D,0.378,0.223,-1.729,1.788,0.000,1.067,-1.309,0.659
Finland,Ryan Anderson,hyper-defensive,John Price,D,-0.112,1.096,1.510,-0.145,0.000,-0.248,-0.538,2.350
Finland,Ryan Anderson,hyper-defensive,Logan Howard,G,0.000,0.000,0.000,0.000,-0.141,-0.444,0.722,-0.141
Norway,Matthew Duncan,hyper-defensive,Matthew Jones,F,-2.074,0.316,-0.146,0.235,0.000,0.096,0.498,-1.670
Norway,Matthew Duncan,hyper-defensive,Gregory Martin,F,-0.522,2.199,-1.778,-0.662,0.000,-2.155,0.835,-0.763
Norway,Matthew Duncan,hyper-defensive,Jorge Malone,F,1.606,-0.694,0.736,-0.435,0.000,-1.546,0.954,1.212
Norway,Matthew Duncan,hyper-defensive,Daniel Atkins,F,0.161,-0.182,0.054,0.618,0.000,-0.836,-0.763,0.650
Norway,Matthew Duncan,hyper-defensive,Jonathan Lee,F,-0.197,0.174,-0.537,0.119,0.000,0.068,1.212,-0.441
Norway,Matthew Duncan,hyper-defensive,Matthew Rice,F,-0.603,1.335,2.758,0.198,0.000,-2.605,0.488,3.688
Norway,Matthew Duncan,hyper-defensive,John Hale,D,-0.281,-0.535,-1.107,-0.313,0.000,1.082,0.886,-2.235
Norway,Matthew Duncan,hyper-defensive,William Boyer,D,0.719,0.208,0.376,0.781,0.000,-1.794,-0.453,2.084
Norway,Matthew Duncan,hyper-defensive,Samuel Ball,D,0.016,0.888,-0.774,-0.407,0.000,0.208,1.364,-0.277
Norway,Matthew Duncan,hyper-defensive,Ross Rodriguez,D,-0.178,-0.249,0.897,-0.552,0.000,-0.696,-0.785,-0.083
Norway,Matthew Duncan,hyper-defensive,Brett Collins,G,0.000,0.000,0.000,0.000,0.579,0.081,-0.941,0.579
Denmark,Angelica Watkins,hyper-defensive,Joshua Weaver,F,-0.600,-2.261,1.208,-0.302,0.000,1.098,0.831,-1.954
Denmark,Angelica Watkins,hyper-defensive,James White,F,-1.133,-0.645,0.941,-0.270,0.000,1.174,-0.277,-1.107
Denmark,Angelica Watkins,hyper-defensive,Shane Cole,F,0.688,0.997,-0.828,0.367,0.000,-1.229,-0.872,1.223
Denmark,Angelica Watkins,hyper-defensive,Thomas Proctor,F,-0.620,2.443,0.157,-0.486,0.000,0.098,-0.871,1.495
Denmark,Angelica Watkins,hyper-defensive,John Ball,F,1.339,-0.884,0.634,-0.794,0.000,0.805,1.624,0.295
Denmark,Angelica Watkins,hyper-defensive,Christopher Charles,F,-0.557,-0.140,-2.649,-0.885,0.000,-0.071,-0.526,-4.230
Denmark,Angelica Watkins,hyper-defensive,Michael Gray,D,-0.441,0.690,-1.916,1.504,0.000,1.030,0.070,-0.163
Denmark,Angelica Watkins,hyper-defensive,William Thomas,D,0.623,-0.545,0.258,0.168,0.000,0.870,-1.501,0.504
Denmark,Angelica Watkins,hyper-defensive,Larry Martinez,D,0.357,0.035,-2.250,-1.156,0.000,0.775,-1.375,-3.015
Denmark,Angelica Watkins,hyper-defensive,Johnny Tucker,D,-1.633,-0.093,0.657,0.288,0.000,0.498,-1.545,-0.780
Denmark,Angelica Watkins,hyper-defensive,Robert Williams,G,0.000,0.000,0.000,0.000,-0.500,-1.037,-0.694,-0.500
Russia,Emily Carter,hyper-offensive,George Nguyen,F,-0.214,2.480,0.721,1.337,0.000,0.092,-1.598,4.324
Russia,Emily Carter,hyper-offensive,Anthony Burton,F,-0.257,-0.417,0.961,0.988,0.000,-0.383,0.949,1.274
Russia,Emily Carter,hyper-offensive,Jordan Sullivan,F,1.090,1.914,0.377,1.884,0.000,0.421,-1.215,5.265
Russia,Emily Carter,hyper-offensive,Juan Bailey,F,-0.402,0.272,2.389,1.869,0.000,-0.087,0.063,4.127
Russia,Emily Carter,hyper-offensive,Dean Bender,F,-0.526,1.019,1.300,1.223,0.000,0.532,-1.762,3.016
Russia,Emily Carter,hyper-offensive,Jeffery Salazar,F,-1.301,1.848,0.056,1.191,0.000,1.355,0.325,1.793
Russia,Emily Carter,hyper-offensive,Michael Cortez,D,0.299,-0.133,-0.922,-0.655,0.000,0.762,-0.837,-1.411
Russia,Emily Carter,hyper-offensive,Michael Perez,D,-0.393,0.670,0.587,0.597,0.000,-0.693,0.535,1.461
Russia,Emily Carter,hyper-offensive,John Davis,D,-0.273,1.033,1.038,-1.023,0.000,0.139,-0.058,0.775
Russia,Emily Carter,hyper-offensive,Anthony Nguyen,D,-1.624,-0.015,-0.828,0.889,0.000,-0.651,0.852,-1.578
Russia,Emily Carter,hyper-offensive,Eric Gonzalez,G,0.000,0.000,0.000,0.000,0.295,0.525,0.315,0.295
Czech Republic,Jeanne Edwards,hyper-defensive,Brandon Martinez,F,-0.368,-0.341,0.658,0.664,0.000,-0.874,-1.170,0.613
